SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Button name;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Statistics group
265;Cremant de Loire 0,75 Bottle;;;item;35.0;;Wein;Raphael Midoir Cremant Weiss 0,75 Bottle;9.6400;1.00000;VOLUME;;;LOCAL;default/
266;Rose Wein 0,2l;;;item;6.0;;Wein;Rose Wein;1.4457;;;;;LOCAL;default/
267;Rotwein RIOJA 0,2l;;;item;6.0;;Wein;Rotwein RIOJA 0,2l;1.4853;;;;;LOCAL;default/
268;Rotwein Cote du Rhone 0,2l;;;item;6.0;;Wein;Rotwein Cote du Rhone;1.2840;;;;;LOCAL;default/
269;Weisswein Grauburgunder 0,2l;;;item;6.0;;Wein;Weisswein Grauburgunder 0,2;1.0760;0.20000;VOLUME;;;LOCAL;default/
270;Weisswein-Schorle;;;item;6.0;;Wein;Weisswein-Schorle;0.5966;;;;;LOCAL;default/
271;Extras Nachos;;0-*;group;;;;Extras Nachos;;;;;;LOCAL;
272;Wedges;;;combo;6.5;;Food;Wedges;0.8204;;;;;LOCAL;
273;Milk;;1-1;group;;;;Milk;;;;;;LOCAL;
274;Nachos;;;combo;6.0;;Food;Nachos;1.1533;;;;;LOCAL;
275;Cherry Tomatoes;;;sub-item;1.0;;Food;Cherry Tomatoes;0.5768;70.00000;MASS;;;LOCAL;
276;Extra Cheese;;;sub-item;1.0;;Food;Extra Cheese;0.4010;100.00000;MASS;;;LOCAL;
277;Thomas Henry Tonic;;1-1;group;;;;Thomas Henry Tonic;;;;;;LOCAL;
282;Nachos Extra Free;;1-1;group;0.0;;;Nachos Extra Free;;;;;;LOCAL;
283;Wedges extras;;0-1;group;0.0;;;Wedges extras;;;;;;LOCAL;
294;Sweet Potatoes;;;combo;6.5;;Food;Sweet Potatoes;1.8763;;;;;LOCAL;
295;Estrella Damm 0,33l Bottle;;;item;4.5;;Alkohol;Estrella Damm 0,33l Bottle;0.8100;0.33000;VOLUME;;;LOCAL;
296;Vegan Nachos;;;combo;6.5;;Food;Vegan Nachos;1.5223;;;;;LOCAL;
302;OBC Strong - 0,33l;;;item;4.5;;Ciders;OBC Strong - 0,33l;1.1000;0.33000;VOLUME;;;LOCAL;default/
303;Pringles Red;;;item;2.5;;Snacks;Pringles Red;0.7200;1.00000;DIMENSION_LESS;;;LOCAL;default/
304;OA - Pringles Black;;;item;2.5;;Snacks-OA;OA - Pringles Black;0.7200;1.00000;DIMENSION_LESS;;;LOCAL;default/
305;Pringles Green;;;item;2.5;;Snacks;Pringles Green;0.7200;1.00000;DIMENSION_LESS;;;LOCAL;default/
306;Pringles Orange;;;item;2.5;;Snacks;Pringles Orange;0.7200;1.00000;DIMENSION_LESS;;;LOCAL;default/
307;OA - Ultje Nuts Salty;;;item;2.0;;Snacks-OA;OA - Ultje Nuts Salty;0.6500;1.00000;DIMENSION_LESS;;;LOCAL;default/
309;Blueberry Muffin;;;item;3.0;;Snacks;Blueberry Muffin;1.2600;1.00000;DIMENSION_LESS;;;LOCAL;default/
310;Chocolate Muffin;;;item;3.0;;Snacks;Chocolate Muffin;1.2600;1.00000;DIMENSION_LESS;;;LOCAL;default/
311;Pool Table;;;item;;;Divers;Pool Table;0.0000;;;;;LOCAL;
312;Castle shopping bag;;;item;10.0;;accessories;Castle shopping bag;3.3000;;;;;LOCAL;
