SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Menu/Screen;Button name;Button color;Barcode;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Docket name;Course;Statistics group;Production instruction
174;Jack Apple Lemonade;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Jack Apple;GREEN;;1.3251;;;;;LOCAL;;;default/;
175;Jack Rye and Dry;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Jack Rye and Dry;BROWN;;1.7194;;;;;LOCAL;;;default/;
176;London Mule;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;London Mule;WHITE;;1.2808;;;;;LOCAL;;;default/;
177;Peach Vodka;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Peach Vodka;ORANGE;;0.8709;;;;;LOCAL;;;default/;
178;Tropical Vodka Lemonade;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Tropical Vodka Lemonade;YELLOW;;0.9144;;;;;LOCAL;;;default/;
179;Aperol Spritz;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Aperol Spritz;ORANGE;;1.0350;;;;;LOCAL;;;default/;
181;Berry Spritz;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Berry Spritz;PINK;;0.5960;;;;;LOCAL;;;default/;
182;Limoncello Spritz;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Limoncello Spritz;YELLOW;;1.0726;;;;;LOCAL;;;default/;
183;Lillet Spritz;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Lillet Spritz;WHITE;;1.1516;;;;;LOCAL;;;default/;
184;Vodka Lemon;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Vodka Lemon;YELLOW;;0.8829;;;;;LOCAL;;;default/;
185;Whiskey and Coke;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Whiskey and Coke;BLACK;;1.2240;;;;;LOCAL;;;default/;
186;Whiskey and Ginger Ale;;;item;9.0;;Long Drinks;;Whiskey and Ginger Ale;YELLOW;;1.3280;;;;;LOCAL;;;default/;
187;Campari Orange;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Campari Orange;LIGHT_RED;;1.4308;;;;;LOCAL;;;default/;
188;Cuba Libre;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Cuba Libre;BLACK;;1.1366;;;;;LOCAL;;;default/;
189;Tequila Sunrise;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Tequila Sunrise;YELLOW;;1.8121;;;;;LOCAL;;;default/;
190;Moscow Mule;;;item;9.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Moscow Mule;YELLOW;;0.8989;;;;;LOCAL;;;default/;
191;Vodka Soda;;;item;8.0;;Long Drinks;Menu/Long Drinks,Order Anywhere/Long Drinks;Vodka Soda;WHITE;;0.7520;;;;;LOCAL;;;default/;
209;Jameson Black 2cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Jameson Black 2cl;PURPLE;;0.8983;;;;;LOCAL;;;default/;
210;Jameson Black 4cl;;;item;9.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Jameson Black 4cl;BLUE;;1.7966;;;;;LOCAL;;;default/;
211;Glenmorangie 2cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Glenmorangie 2cl;PURPLE;;0.8069;;;;;LOCAL;;;default/;
212;Glenmorangie 4cl;;;item;9.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Glenmorangie 4cl;BLUE;;1.6137;;;;;LOCAL;;;default/;
213;Laphroiag 2cl;;;item;6.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Laphroiag 2cl;PURPLE;;1.0526;;;;;LOCAL;;;default/;
214;Laphroiag 4cl;;;item;9.5;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Laphroiag 4cl;BLUE;;2.1051;;;;;LOCAL;;;default/;
217;Glenfiddich 2cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Glenfiddich 2cl;PURPLE;;0.8531;;;;;LOCAL;;;default/;
218;Glenfiddich 4cl;;;item;9.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Glenfiddich 4cl;BLUE;;1.7063;;;;;LOCAL;;;default/;
219;Glenkinchie 2cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Glenkinchie 2cl;PURPLE;;1.0337;;;;;LOCAL;;;default/;
220;Glenkinchie 4cl;;;item;9.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Glenkinchie 4cl;BLUE;;2.0674;;;;;LOCAL;;;default/;
221;Talisker 2cl;;;item;4.5;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Talisker 2cl;PURPLE;;0.9614;;;;;LOCAL;;;default/;
222;Talisker 4cl;;;item;8.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Talisker 4cl;BLUE;;1.9229;;;;;LOCAL;;;default/;
223;Lagavulin 2cl;;;item;7.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Lagavulin 2cl;PURPLE;;1.6400;;;;;LOCAL;;;default/;
224;Lagavulin 4cl;;;item;10.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Lagavulin 4cl;BLUE;;3.2700;;;;;LOCAL;;;default/;
225;Jack Daniels 2cl;;;item;2.5;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Jack Daniels 2cl;PURPLE;;0.5178;2.00000;VOLUME;;;LOCAL;;;default/;
226;Jack Daniels 4cl;;;item;4.5;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Jack Daniels 4cl;BLUE;;1.0356;;;;;LOCAL;;;default/;
227;Bulleit 2cl;;;item;3.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Bulleit 2cl;PURPLE;;0.6200;;;;;LOCAL;;;default/;
228;Bulleit 4cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Bulleit 4cl;BLUE;;1.2300;;;;;LOCAL;;;default/;
229;Maker's Mark 2cl;;;item;3.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Maker's Mark 2cl;PURPLE;;0.5658;;;;;LOCAL;;;default/;
230;Maker's Mark 4cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Maker's Mark 4cl;BLUE;;1.1316;;;;;LOCAL;;;default/;
231;Jameson 2cl;;;item;3.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Jameson 2cl;PURPLE;;0.4880;;;;;LOCAL;;;default/;
232;Jameson 4cl;;;item;5.0;;Whiskey;Menu/Whiskey,Order Anywhere/Whiskey;Jameson 4cl;BLUE;;0.9760;;;;;LOCAL;;;default/;
233;Salami extra;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Salami extra;LIGHT_RED;;0.4336;;;;;LOCAL;;;default/;
234;Oliven;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Oliven;GREEN;;0.2045;;;;;LOCAL;;;default/;
237;Buzzernummer;;;item;0.0;;Food;;Buzzernummer;BLUE;;0.0000;;;;;LOCAL;;;;Buzzer Number
239;mayo & Ketchup;;;item;0.6;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;mayo & Ketchup;DARK_RED;;0.1737;;;;;LOCAL;;;default/;
240;Vegan Mayo;;;item;0.6;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Vegan Mayo;WHITE;;;;;;;LOCAL;;;default/;
241;Garlic Dip;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Garlic Dip;WHITE;;0.0731;;;;;LOCAL;;;default/;
242;Mayo;;;item;0.6;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Mayo;WHITE;;;;;;;LOCAL;;;default/;
243;BBQ;;;item;1.0;;Food;;BBQ;BLUE;;0.0837;;;;;LOCAL;;;default/;
244;Ketchup;;;item;0.6;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Ketchup;DARK_RED;;0.0823;;;;;LOCAL;;;default/;
245;Vegan Cheese;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Vegan Cheese;YELLOW;;1.2940;1.00000;MASS;;;LOCAL;;;default/;
246;Guacamole;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Guacamole;BLUE;;0.2502;30.00000;MASS;;;LOCAL;;;default/;
247;salsa;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;salsa;BLUE;;;20.00000;MASS;;;LOCAL;;;default/;
248;Sour Cream;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Sour Cream;BLUE;;0.1089;30.00000;MASS;;;LOCAL;;;default/;
249;Mushrooms;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Mushrooms;WHITE;;;;;;;LOCAL;;;default/;
250;Jalapeno;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Jalapeno;DARK_RED;;0.4414;70.00000;MASS;;;LOCAL;;;default/;
251;Dried Tomaotes;;;sub-item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Dried Tomaotes;DARK_RED;;0.4225;;;;;LOCAL;;;default/;
252;Mozzarella Cheese;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Mozzarella Cheese;YELLOW;;0.8020;;;;;LOCAL;;;default/;
253;Pepperoni;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Pepperoni;ORANGE;;0.4236;;;;;LOCAL;;;default/;
254;Capers;;;item;1.0;;Food;Menu/Food/Extras,Order Anywhere/Food/Extras;Capers;GREEN;;;;;;;LOCAL;;;default/;
255;Oat Milk1;;;item;0.0;;Coffee;;Hafer Milch;BLUE;;0.5880;;;;;LOCAL;;;default/;
256;Plantation Dark 2cl;;;item;3.0;;Rum;Menu/Shots,Order Anywhere/Shots;Plantation Dark 2cl;BLUE;;0.4491;;;;;LOCAL;;;default/;
257;Plantation Dark 4cl;;;item;5.5;;Rum;Menu/Shots,Order Anywhere/Shots;Plantation Dark 4cl;BLUE;;0.8983;;;;;LOCAL;;;default/;
258;Plantation 3 Stars 2cl;;;item;3.0;;Rum;Menu/Shots,Order Anywhere/Shots;Plantation 3 Stars 2cl;BLUE;;0.4443;;;;;LOCAL;;;default/;
261;Plantation 3 Stars 4cl;;;item;5.5;;Rum;Menu/Shots,Order Anywhere/Shots;Plantation 3 Stars 4cl;BLUE;;0.8886;;;;;LOCAL;;;;
262;Glühwein 0,2l;;;item;4.5;;Wein;Menu/Wein,Order Anywhere/Wein;Glühwein 0,2l;BLUE;;0.3592;;;;;LOCAL;;;default/;
